County,City,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Utility,Count
ALL,ALL,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),22910
ALL,ALL,2021,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,14641
ALL,ALL,ALL,ALL,MODEL 3,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12273
ALL,ALL,ALL,TESLA,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,25507
ALL,ALL,ALL,ALL,ALL,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,ALL,19582
ALL,ALL,2023,TESLA,ALL,ALL,ALL,ALL,28609
King,ALL,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,33647
King,ALL,ALL,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),62126
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),54241
ALL,ALL,ALL,ALL,MODEL Y,Battery Electric Vehicle (BEV),ALL,ALL,37007
ALL,Seattle,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,11543
ALL,ALL,ALL,ALL,MODEL 3,ALL,Eligibility unknown as battery range has not been researched,ALL,16342
ALL,ALL,ALL,TESLA,MODEL 3,ALL,ALL,ALL,30149
ALL,ALL,ALL,ALL,MODEL 3,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,13807
ALL,ALL,2023,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC,12082
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),25633
ALL,ALL,ALL,TESLA,ALL,ALL,ALL,PUGET SOUND ENERGY INC,16016
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,94730
ALL,ALL,ALL,NISSAN,LEAF,ALL,ALL,ALL,13356
ALL,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),16372
Clark,ALL,ALL,ALL,ALL,ALL,ALL,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),10420
ALL,ALL,2022,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,23557
ALL,ALL,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12276
ALL,ALL,ALL,ALL,LEAF,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,10753
