Algorithm,Minimum Support,Time Taken (s)
unoptimized,1000,74.2939944267273
unoptimized,5000,71.9485194683075
unoptimized,10000,74.21697282791138
unoptimized,20000,73.71911835670471
unoptimized,50000,73.50538611412048
with pruning,1000,25.392083883285522
with pruning,5000,20.904643774032593
with pruning,10000,17.600266456604004
with pruning,20000,15.589637994766235
with pruning,50000,12.317945718765259
