County,City,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Utility,Count
King,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),16372
King,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,51654
King,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),25633
King,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),50328
King,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,76225
King,ALL,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12276
King,ALL,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),21271
King,ALL,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,33647
King,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),35086
King,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),16372
King,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,51654
King,ALL,ALL,ALL,ALL,ALL,ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),32012
King,ALL,ALL,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),62126
King,ALL,ALL,ALL,ALL,ALL,ALL,ALL,94460
Snohomish,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC,10608
Snohomish,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,ALL,11084
Snohomish,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,11922
